name,price,screen_size,resolution,refresh_rate,response_time,panel_type,aspect_ratio
ViewSonic VA2212M-LED,,22,"1920,1080",,5,,16:9
AOC e2450Swd,,23.6,"1920,1080",60,5,,16:9
LG E2442V-BN,,24,"1920,1080",,5,TN,16:9
Asus PB238Q,,23,"1920,1080",,6,IPS,16:9
ViewSonic VG2439M-LED,,24,"1920,1080",,5,,16:9
Dell S2240L,,21.5,"1920,1080",60,7,IPS,16:9
Acer V223WL,,22,"1680,1050",60,5,,16:10
Acer V233HL,,23,"1920,1080",60,5,TN,16:9
V7 LED185W2R-DVI,,18.5,"1366,768",75,5,,16:9
NEC EA244WMi-BK,,24,"1920,1200",,6,IPS,16:10
Dell U3014,,30,"2560,1600",60,6,IPS,16:10
Asus VS207D-P,135,19.5,"1600,900",,5,TN,16:9
Asus VS207T-P,,19.5,"1600,900",,5,TN,16:9
Acer S241HL bmid,,24,"1920,1080",60,5,TN,16:9
AOC q2963Pm,,29,"2560,1080",60,5,IPS,21:9
Dell E2213H,,21.5,"1920,1080",60,5,TN,16:9
Samsung S22C200B,,21.5,"1920,1080",,5,TN,16:9
Samsung S22C300H,,21.5,"1920,1080",,5,TN,16:9
Samsung S23C350H,,23,"1920,1080",,5,TN,16:9
Samsung S24C450BW,,24,"1920,1200",,5,,16:10
Samsung S24C750P,,24,"1920,1080",,5,,16:9
LG 23EA63V-P,,23,"1920,1080",,5,IPS,16:9
LG 23EN43T-B,,23,"1920,1080",60,5,TN,16:9
LG 24EN43V-B,,24,"1920,1080",60,5,TN,16:9
LG E1910P-BN,,19,"1280,1024",60,5,TN,5:4
NEC EA294WMi-BK,449,29,"2560,1080",60,6,IPS,21:9
Philips 271P4QPJEB,,27,"1920,1080",60,6,,16:9
Philips BDL3210Q/00,,31.5,"1366,768",60,8,,16:9
Toshiba PA5022U-1LC3,,15.6,"1366,768",,16,,16:9
Dell U2312HM,,23,"1920,1080",60,8,IPS,16:9
HP LA2006x,,20,"1600,900",60,5,,16:9
AOC E2425SWD,,24,"1920,1080",60,5,TN,16:9
Acer V206HQLAbmd,,19.5,"1600,900",60,5,TN,16:9
LG IPS235P-BN,,23,"1920,1080",60,5,IPS,16:9
BenQ GL2023A,,19.5,"1600,900",60,5,TN,16:9
Dell E2314H,,23,"1920,1080",60,5,TN,16:9
Philips 246V5LHAB/27,,24,"1920,1080",60,5,TN,16:9
Acer FT200HQLbmjj,,20,"1600,900",60,5,,16:9
Planar PCT2485,523.95,24,"1920,1080",60,14,,16:9
3M M2467PW,,24,"1920,1080",,16,,16:9
Samsung LE32C,,32,"1366,768",60,8,,16:9
HP Smartbuy Z30i,,30,"2560,1600",60,8,IPS,16:10
HP Smartbuy V241,,23.6,"1920,1080",60,5,TN,16:9
AOC E2060SWDA,,19.5,"1600,900",60,5,,16:9
Planar 997-7318-00,,15,"1024,768",75,8,,4:3
ViewSonic TD2240,,22,"1920,1080",,25,,16:9
AOC E2260SWDA-TAA,,22,"1920,1080",60,5,TN,16:9
LG 22M45D,,21.5,"1920,1080",60,5,TN,16:9
LG 27MP65HQ,,27,"1920,1080",60,5,IPS,16:9
Samsung S22D300NY,,21.5,"1920,1080",60,5,TN,16:9
Samsung S24D300HL,,23.6,"1920,1080",60,5,TN,16:9
Samsung S27D360H,,27,"1920,1080",60,5,TN,16:9
Samsung S27D390H,,27,"1920,1080",60,5,TN,16:9
Samsung T22C350ND,,21.5,"1920,1080",60,2,TN,16:9
LG 34UM95,,34,"3440,1440",60,5,IPS,21:9
Dell UZ2715H,,27,"1920,1080",60,8,IPS,16:9
LG 27MP35HQ,,27,"1920,1080",60,5,IPS,16:9
Lenovo ThinkVision E2223s,,21.5,"1920,1080",75,5,TN,16:9
Acer V226HQL Abmid,,21.5,"1920,1080",60,5,TN,16:9
ViewSonic VX2263SMHL-W,,21.5,"1920,1080",60,5,TN,16:9
ViewSonic VX2363SMHL-W,,23,"1920,1080",60,14,TN,16:9
BenQ GW2265HM,,21.5,"1920,1080",60,6,VA,16:9
Asus VS228T-P,,21.5,"1920,1080",60,5,TN,16:9
Asus PB278QR,,27,"2560,1440",60,5,IPS,16:9
Acer G257HU smidpx,,25,"2560,1440",60,4,IPS,16:9
LG 23MP57HQ-P,,23,"1920,1080",60,5,IPS,16:9
Acer CB270HU,,27,"2560,1440",60,6,IPS,16:9
Dell U2311H,,23,"1920,1080",60,8,IPS,16:9
AOC Q2778VQE,,27,"2560,1440",60,1,TN,16:9
Asus PB258Q,,25,"2560,1440",60,5,IPS,16:9
HP 25xw,,25,"1920,1080",60,7,IPS,16:9
Samsung S27E591C,,27,"1920,1080",60,4,VA,16:9
ViewSonic VG2433SMH,,23.6,"1920,1080",60,14,IPS,16:9
LG 34UC87C,,34,"3440,1440",60,5,IPS,21:9
HP 27xw,,27,"1920,1080",60,8,IPS,16:9
Lenovo 60C8MAR1US,,23.8,"1920,1080",60,7,IPS,16:9
Philips 247E6BDAD,,23.6,"1920,1080",60,2,TN,16:9
Asus VS239HV,,23,"1920,1080",60,5,IPS,16:9
Samsung S24E650BW,,24,"1920,1200",60,4,PLS,16:10
Acer K272HUL,,27,"2560,1440",75,6,TN,16:9
Dell S2316M,,23,"1920,1080",60,6,IPS,16:9
AOC G2770PF,,27,"1920,1080",144,1,TN,16:9
AOC I2279VWHE,,21.5,"1920,1080",60,5,IPS,16:9
Asus VS228NL-P,,21.5,"1920,1080",60,5,TN,16:9
iiyama B2482HD-B1,,24,"1920,1080",60,5,TN,16:9
iiyama XU2590HS-B1,,25,"1920,1080",60,5,IPS,16:9
LG 23MP67VQ,,23,"1920,1080",60,5,IPS,16:9
Philips BDM4065UC,,40,"3840,2160",60,3,VA,16:9
Dell E1916H,,18.5,"1366,768",60,5,TN,16:9
LG 31MU97Z-B,,31,"4096,2160",60,5,IPS,256:135
NEC P212-BK,,21,"1600,1200",60,8,IPS,4:3
Eizo CS270-BK-CN,,27,"2560,1440",60,15,IPS,16:9
Asus C620AQ,,19.5,"1440,900",60,5,IPS,16:10
Dell UP2516D,,25,"2560,1440",60,6,IPS,16:9
HP Z34c,,34,"3440,1440",60,8,IPS,21:9
LG 27MP47HQ,,27,"1920,1080",60,5,IPS,16:9
Philips 245C5QHAB,,23.8,"1920,1080",60,5,IPS,16:9
ViewSonic VX2457-MHD,,23.6,"1920,1080",75,2,TN,16:9
AOC M2870VHE,,28,"1920,1080",60,5,VA,16:9
NEC EA275WMI-BK,,27,"2560,1440",,6,,16:9
LG 27UD68-W,,27,"3840,2160",60,5,IPS,16:9
HP 23ES,,23,"1920,1080",60,7,IPS,16:9
Samsung LC27FG70FQNXZA,,27,"1920,1080",144,1,VA,16:9
Asus VA325H,,31.5,"1920,1080",60,5,IPS,16:9
Asus VA32AQ,,31.5,"2560,1440",60,5,IPS,16:9
Samsung BX2035,,20,"1600,900",,2,TN,16:9
Nixeus NX-EDG27,,27,"2560,1440",144,4,IPS,16:9
AOC C4008VU8,,40,"3840,2160",60,5,VA,16:9
ViewSonic XG2530,,25,"1920,1080",240,1,TN,16:9
LG 34UC89G-B,,34,"2560,1080",166,5,IPS,21:9
Pixio PX277-N,,27,"2560,1440",144,6,IPS,16:9
Samsung CH711,,32,"2560,1440",60,4,VA,16:9
Acer ED242QR wi,,23.6,"1920,1080",75,4,VA,16:9
LG 29UM60-P,,29,"2560,1080",75,5,IPS,21:9
QNIX QX3218R 165 Curved Captain,,32,"1920,1080",144,1,VA,16:9
Acer ET241Y Abmir,,23.8,"1920,1080",60,4,IPS,16:9
LG 27MU88-W,,27,"3840,2160",60,5,IPS,16:9
Acer Predator Z301C,,30,"2560,1080",200,4,VA,21:9
LG 34UB88-P,399.99,34,"3440,1440",75,5,IPS,21:9
iiyama Prolite B2480HS-B2,,23.6,"1920,1080",60,1,TN,16:9
iiyama Prolite E2480HS-B1,,23.6,"1920,1080",60,2,TN,16:9
iiyama Prolite GB2773HS-GB1,,27,"1920,1080",144,1,TN,16:9
iiyama Prolite X2783HSU-B1,,27,"1920,1080",60,4,VA,16:9
iiyama Prolite XB2783HSU-B1DP,,27,"1920,1080",60,4,VA,16:9
Acer ED7,,34,"3440,1440",100,4,VA,21:9
AOC Q3279VWF,,31.5,"2560,1440",75,5,VA,16:9
iiyama G-MASTER SILVER CROW,,27,"2560,1440",75,1,TN,16:9
iiyama G-MASTER GOLD PHOENIX,,31.5,"1920,1080",144,3,VA,16:9
iiyama G-MASTER BLACK HAWK,,21.5,"1920,1080",75,1,TN,16:9
Samsung C34H890WJN,,34,"3440,1440",100,4,VA,21:9
ViewSonic VX3258-2KC-MHD,,31.5,"2560,1440",144,5,VA,16:9
Samsung LS34J550WQUXEN,,34.1,"3440,1440",60,4,VA,21:9
LG 34GK950G,,34,"3440,1440",120,5,IPS,21:9
Acer XZ271U bmijpphzx,,27,"2560,1440",144,1,VA,16:9
Acer ET322QU,,31.5,"2560,1440",75,4,IPS,16:9
AOC 27V2H,,27,"1920,1080",75,5,IPS,16:9
ViewSonic XG240R,,24,"1920,1080",144,1,TN,16:9
Dell U2419HC,,23.8,"1920,1080",60,5,IPS,16:9
Asus ROG Swift PG258Q Call of Duty: Black Ops 4 Special Edition,,24.5,"1920,1080",240,1,TN,16:9
Samsung CH711,,26.9,"2560,1440",60,4,VA,16:9
ViewSonic XG2730,,27,"2560,1440",144,1,TN,16:9
LG 24MK600M-W,,23.8,"1920,1080",75,5,IPS,16:9
AOC AG272FCX6,,27,"1920,1080",144,1,VA,16:9
BenQ BL2780,,27,"1920,1080",60,5,IPS,16:9
BenQ ZOWIE RL2455TS,,24,"1920,1080",75,1,TN,16:9
Acer VW237Q,,22.5,"1920,1200",60,4,IPS,16:10
Acer XF250Q Bbmiiprx,,24.5,"1920,1080",144,1,TN,16:9
Asus Designo MX279HS,,27,"1920,1080",76,5,IPS,16:9
Acer B247Y bmiprx,,23.8,"1920,1080",75,4,IPS,16:9
BenQ ZOWIE XL2546 DIVINA,,24.5,"1920,1080",240,1,TN,16:9
HP Z23n G2,,23,"1920,1080",60,5,IPS,16:9
HP N246v,,23.8,"1920,1080",60,5,IPS,16:9
BenQ EW2780,,27,"1920,1080",60,5,IPS,16:9
HP ProDisplay P223A,,21.5,"1920,1080",60,5,VA,16:9
HP P204,,19.5,"1600,900",60,,TN,16:9
Philips 328E9FJAB,,31.5,"2560,1440",75,4,VA,16:9
Philips 241B8QJEB,138.99,23.8,"1920,1080",60,5,IPS,16:9
Pixio PX7P,,27,"2560,1440",165,4,IPS,16:9
V7 L215DS-DUALKIT-N,,21.5,"1920,1080",60,5,TN,16:9
ViewSonic VG2248,153.94,21.5,"1920,1080",60,7,IPS,16:9
ViewSonic VG2748,,27,"1920,1080",60,7,IPS,16:9
Dell S2319HN,,23,"1920,1080",60,5,IPS,16:9
MSI Optix MAG322CR,,31.5,"1920,1080",180,,VA,16:9
Asus ROG Strix XG43VQ,,43.4,"3840,1200",120,,VA,16:5
Acer Nitro XV273 Xbmiiprzx,,27,"1920,1080",240,,IPS,16:9
Samsung LS27F354FHNXZA,,27,"1920,1080",60,4,PLS,16:9
ViewSonic VG2448-PF,249.99,23.8,"1920,1080",60,5,IPS,16:9
ViewSonic VX2785-2K-MHDU,,27,"2560,1440",60,5,IPS,16:9
Acer HA270 Abi,,27,"1920,1080",75,4,IPS,16:9
Acer V247Y bi,,23.8,"1920,1080",75,4,IPS,16:9
BenQ EW2780Q,398.01,27,"2560,1440",60,5,IPS,16:9
Acer ED323QUR widpx,,31.5,"2560,1440",75,4,VA,16:9
Dell P2219HE,,22,"1920,1080",60,5,IPS,16:9
Dell E1920H,188.68,18.5,"1366,768",60,5,TN,16:9
Dell E2720HS,,27,"1920,1080",60,5,IPS,16:9
Lenovo P24H-20,,23.8,"2560,1440",75,8,IPS,16:9
NEC MultiSync PA271Q-BK,,27,"2560,1440",60,8,IPS,16:9
Samsung T55,,31.5,"1920,1080",75,4,VA,16:9
Acer XF270HU Cbmiiprx,,27,"2560,1440",144,1,TN,16:9
Asus VL279​HE,,27,"1920,1080",75,5,IPS,16:9
Philips 226E9QDSB,,21.5,"1920,1080",75,4,IPS,16:9
Acer KG281K bmiipx,,28,"3840,2160",60,1,TN,16:9
Philips 274E5QHAB/75,,27,"1920,1080",60,5,IPS,16:9
Philips 279P1,,27,"3840,2160",60,4,IPS,16:9
LG 24M38H-B,,23.6,"1920,1080",60,5,TN,16:9
Monoprice Dark Matter,,27,"1920,1080",240,1,IPS,16:9
Acer Nitro QG271 bii,,27,"1920,1080",75,,VA,16:9
Acer CB272 bmiprx,279.99,27,"1920,1080",75,,IPS,16:9
Acer V277 bmix,290.25,27,"1920,1080",75,4,IPS,16:9
LG 24BK550Y-B,260.57,23.8,"1920,1080",75,5,IPS,16:9
X= XG24IPS,,23.8,"1920,1080",75,8,IPS,16:9
Lenovo G27q-20,,27,"2560,1440",165,,IPS,16:9
Acer VG280K bmiipx,,28,"3840,2160",60,4,IPS,16:9
Pixio PX248PA,,23.8,"1920,1080",144,1,IPS,16:9
MSI MPG ARTYMIS 273CQR,439.99,27,"2560,1440",165,,VA,16:9
X= XPRO27IPS,,27,"1920,1080",165,,IPS,16:9
NZXT Canvas 32Q,,32,"2560,1440",165,,VA,16:9
Samsung CH890,,34,"3440,1440",100,,VA,21:9
Samsung FT400,,24,"1920,1080",60,4,IPS,16:9
Samsung FT650,,24,"1920,1080",75,5,IPS,16:9
Samsung M50A,,24,"1920,1080",60,,IPS,16:9
Samsung SE310,,23.6,"1920,1080",,,TN,16:9
Samsung S60UA,,32,"2560,1440",75,,VA,16:9
Samsung SE790,,34,"3440,1440",,,VA,21:9
Samsung UE590,,23.6,"3840,2160",,,PLS,16:9
Samsung UE570,,28,"3840,2160",,,TN,16:9
Acer EH301CUR,,30,"2560,1080",144,,VA,21:9
Acer ED272 Abix,,27,"1920,1080",75,4,IPS,16:9
Acer ED273,,27,"1920,1080",75,,VA,16:9
Acer QG271 bi,,27,"1920,1080",75,,VA,16:9
Acer SB271 bi,,27,"1920,1080",75,,IPS,16:9
Acer VG272 Sbmiipx,,27,"1920,1080",144,,IPS,16:9
Acer K202HQL bi,129,19.5,"1600,900",60,,TN,16:9
Acer K202HQL Abi,168.88,19.5,"1366,768",,,TN,16:9
Acer XZ325QU PBMIIPHX,,31.5,"2560,1440",165,,VA,16:9
Acer CBA242Y BIR,159.99,23.8,"1920,1080",75,,IPS,16:9
Acer EI491CR SBMIIIPHX,,49,"3840,1080",120,,VA,32:9
Acer EK240Q bi,,23.6,"1920,1080",75,,VA,16:9
LG 24M47VQ-P,,24,"1920,1080",,,TN,16:9
LG 38WP85C-W,1744.29,37.5,"3840,1600",60,5,IPS,12:5
LG 27LP600B-P,,27,"1920,1080",75,14,IPS,16:9
LG 32MN500M-B,249.99,32,"1920,1080",60,5,IPS,16:9
LG 34WL850-W,,34,"3440,1440",60,5,IPS,21:9
Acer Nitro RG241YP,,23.8,"1920,1080",144,,IPS,16:9
BenQ SW321C,2099.98,31.5,"3840,2160",60,5,IPS,16:9
MSI Optix MAG272CQP,,27,"2560,1440",165,,VA,16:9
MSI Optix MAG274,,27,"1920,1080",144,,IPS,16:9
MSI Optix G274,211.89,27,"1920,1080",170,,IPS,16:9
MSI Optix G321C,,31.5,"1920,1080",165,,VA,16:9
ViewSonic VG2440V,199.99,24,"1920,1080",,5,IPS,16:9
ViewSonic VX3268-PC-MHD,,32,"1920,1080",165,3,VA,16:9
Asus VL279HE,,27,"1920,1080",75,5,IPS,16:9
iiyama GB2770QSU-B1,,27,"2560,1440",150,,IPS,16:9
Lenovo 65FDGAC2UK,,23.6,"1920,1080",144,,TN,16:9
Acer 27HC5UR BMIIPX,,27,"2560,1440",75,,VA,16:9
Acer R241Y Bbix,,23.8,"1920,1080",,,IPS,16:9
Acer ED240Q bi,,23.6,"1920,1080",75,,VA,16:9
Acer B227Q A,,21.5,"1920,1080",75,,VA,16:9
AOC Porsche Design AGON PRO PD32M,,31.5,"3840,2160",144,1,IPS,16:9
Eizo FlexScan S2133,,21.3,"1600,1200",,6,IPS,4:3
VIOTEK FI24D,,23.8,"2560,1440",75,,IPS,16:9
Samsung Odyssey Neo G70NC,,43,"3840,2160",144,,Mini LED VA,16:9
Samsung LS32BG850NMXUE,,32,"3840,2160",240,1,,16:9
LG 34WQ65X-W,,34,"2560,1080",60,5,IPS,21:9
iiyama ProLite XUB2595WSU-B1,,25,"1920,1200",75,4,IPS,16:10
Asus VA27DQSBY,,27,"1920,1080",75,5,IPS,16:9
Monoprice CrystalPro,,27,"3840,2160",60,,IPS,16:9
Acer Vero B7 B247Y E,,23.8,"1920,1080",100,4,,16:9
AOC 24E2H,,23.8,"1920,1080",75,4,IPS,16:9
AOC Q32V3,,31.5,"2560,1440",60,4,VA,16:9
BenQ BL2785TC,,27,"1920,1080",75,5,IPS,16:9
BenQ ZOWIE XL2731K,,27,"1920,1080",165,,TN,16:9
CTL MTIP2381,99.99,24,"1920,1080",,8,VA,16:9
HP Z24f G3,259,23.8,"1920,1080",60,5,IPS,16:9
HP Z24m G3,,23.8,"2560,1440",90,5,IPS,16:9
HP E27q G5,,27,"2560,1440",75,5,IPS,16:9
HP E24 G4,209,23.8,"1920,1080",60,5,,16:9
HP E27q G4,399,27,"2560,1440",60,5,IPS,16:9
HP E24i G4,262,24,"1920,1200",60,5,IPS,16:10
LG 27BN85U-B,589,27,"3840,2160",60,5,IPS,16:9
LG 27BP85U-W,,27,"3840,2160",,5,IPS,16:9
LG 27BQ85U-W,,27,"3840,2160",60,5,Nano IPS,16:9
MSI Optix G321CUV,,31.5,"3840,2160",60,4,VA,16:9
MSI Pro MP271C,396.48,27,"1920,1080",75,5,VA,16:9
Philips 325B1L,520.59,31.5,"2560,1440",75,4,IPS,16:9
Samsung T37F,,21.5,"1920,1080",75,5,IPS,16:9
Samsung FT45,239,23.8,"1920,1080",75,5,IPS,16:9
Samsung T45F,,27,"1920,1080",75,5,IPS,16:9
Samsung M70B,,32,"3840,2160",60,4,VA,16:9
Razer Raptor,,27,"2560,1440",165,4,IPS,16:9
Acer EI322QURS,,31.5,"2560,1440",165,,VA,16:9
Asus TUF Gaming VG279Q1A,229,27,"1920,1080",165,,IPS,16:9
Planar PXN2480MW,196.99,23.8,"1920,1080",60,7,IPS,16:9
YEYIAN Sigurd 2502,,23.6,"1920,1080",165,1,VA,16:9
Pixio PX32U WAVE,,32,"3840,2160",144,1,IPS,16:9
Dell ST2010B,,20,"1600,900",60,5,TN,16:9
Eizo EV2457,,24.1,"1920,1200",60,5,IPS,16:10
Gigabyte G34WQCP rev. 2.0,,34,"3440,1440",180,1,VA,21:9
Acer UM.CC0AA.001,,34,"3440,1440",75,5,IPS,21:9
Acer UM.HXXEE.305,,27,"3840,2160",160,1,Mini LED IPS,16:9
LG 24BP55Q-B,227.94,23.8,"2560,1440",75,5,IPS,16:9
Asus VP349CGL,,34,"3440,1440",100,,IPS,21:9
LG 27BQ75QC-B,249,27,"2560,1440",75,5,IPS,16:9
Acer CB342CK smiiphzx,618.65,34,"3440,1440",75,,IPS,21:9
LG 32UP50S-B,299.99,31.5,"3840,2160",60,4,VA,16:9
BenQ RL2460S,,24,"1920,1080",75,1,TN,16:9
Acer CBA242Y Abmirx,,23.8,"1920,1080",,,VA,16:9
Lenovo L2021,163.65,20,"1600,900",,5,TN,16:9
NEC P232W-BK-SV,,23,"1920,1080",,8,IPS,16:9
ViewSonic VA2256-MHD,119,21.5,"1920,1080",60,7,IPS,16:9
Monoprice Zero-G V2,399.99,35,"3440,1440",120,4,VA,21:9
Dell P2423DE,334.99,24,"2560,1440",60,,IPS,16:9
LG 34WL85C-B,499,34,"3440,1440",60,5,IPS,21:9
HP E273q,499,27,"2560,1440",60,,IPS,16:9
Acer CM2241W,169.99,24,"1920,1200",60,,IPS,16:10
Asus VA34VCPSN,469,34,"3440,1440",100,4,VA,21:9
HP E27u G4,479,27,"2560,1440",,5,AHVA,16:9
HP Z27q G3,449,27,"2560,1440",60,5,IPS,16:9
LG 32BP55U-B,429.99,31.5,"3840,2160",60,4,VA,16:9
MSI MAG 27C6PF,,27,"1920,1080",180,0.5,VA,16:9
Dell E2013H,,20,"1600,900",60,5,,16:9
AOC U3477PQU,,34,"3440,1440",60,5,IPS,21:9
Dell SE2716H,398.98,27,"1920,1080",60,6,VA,16:9
Dell UP2716D,,27,"2560,1440",60,6,IPS,16:9
Samsung S27E450D,,27,"1920,1080",60,5,TN,16:9
AOC E2470SWH,,23.6,"1920,1080",60,1,TN,16:9
Dell U2419HX,399.99,23.8,"1920,1080",60,5,IPS,16:9
BenQ BL2780T,179,27,"1920,1080",60,5,IPS,16:9
HP DreamColor Z27x G2,1688.88,27,"2560,1440",60,,IPS,16:9
ViewSonic VG2456,259.93,23.8,"1920,1080",,5,IPS,16:9
NEC AS19Mi-BK,207.44,19,"1280,1024",60,6,IPS,5:4
Dell U2421E,379.99,24.1,"1920,1200",60,8,IPS,16:10
Dell UP2720Q,1297.99,27,"3840,2160",60,6,IPS,16:9
LG 35WN75C-B,599.99,35,"3440,1440",100,5,VA,21:9
LG 27GN65S-B,249.99,27,"1920,1080",144,1,IPS,16:9
HP Z24n G3,,24,"1920,1200",60,5,IPS,16:10
HP E24q G4,249,23.8,"2560,1440",,4,IPS,16:9
Lenovo 62D9GAR6US,299.99,23.8,"1920,1080",60,4,IPS,16:9
LG 27BL650C-B,422.91,27,"1920,1080",75,5,IPS,16:9
MSI G2712V,149.99,27,"1920,1080",100,,IPS,16:9
Acer Predator XB323K RV,,32,"3840,2160",160,1,IPS,16:9
ViewSonic VG2457V,389.99,24,"1920,1080",100,5,IPS,16:9
AOC 2436V,,24,"1920,1080",,5,,16:9
AOC F22,,22,"1920,1080",,5,,16:9
ViewSonic VX2250wm-LED,,21.5,"1920,1080",,5,,16:9
ViewSonic VA1931WA-LED,,19,"1366,768",,5,,16:9
ViewSonic VA926g,,19,"1280,1024",,5,,5:4
ViewSonic VA1948m-LED,,19,"1440,900",,5,,16:10
ViewSonic VG2236wm-LED,,22,"1920,1080",,5,,16:9
ViewSonic VX2450wm-LED,,23.6,"1920,1080",,5,,16:9
Samsung S27A350H,,27,"1920,1080",,2,,16:9
Samsung B2240W,,22,"1680,1050",,5,,16:10
Samsung S24A300B,,24,"1920,1080",,5,,16:9
Samsung B1940MR,,19,"1280,1024",,5,,5:4
Samsung C27A750X,,27,"1920,1080",,2,,16:9
Samsung T22A350,,21.5,"1920,1080",,5,,16:9
Samsung T23A350,,23,"1920,1080",,5,,16:9
Dell P1911,,19,"1440,900",,5,,16:10
Dell E2211H,,21.5,"1920,1080",,5,TN,16:9
Acer S231HLbid,,23,"1920,1080",,5,,16:9
Acer S201HLbd,,20,"1600,900",60,5,,16:9
Acer P215HBbd,,21.5,"1920,1080",,5,TN,16:9
Acer V173DJb,169,17,"1280,1024",,5,,5:4
Acer HS244HQbmii,,23.6,"1920,1080",120,2,TN,16:9
Acer G215HVAbd,,21.5,"1920,1080",,5,TN,16:9
Asus VW224U,,22,"1680,1050",,2,,16:10
Asus VH226H,,21.5,"1920,1080",,2,,16:9
Asus VH242H,,23.6,"1920,1080",,5,TN,16:9
Asus VE258Q,,25,"1920,1080",,2,,16:9
Asus VB195T,,19,"1280,1024",,5,,5:4
Asus VH232H,,23,"1920,1080",,5,,16:9
Asus VW193DR,,19,"1440,900",,5,,16:10
BenQ BL2400PU,,24,"1920,1080",,8,,16:9
BenQ G2222HDL,,21.5,"1920,1080",,5,TN,16:9
LG D2342P-PN,,23,"1920,1080",75,5,TN,16:9
LG E2770V-BF,,27,"1920,1080",,14,,16:9
LG IPS231P-BN,,23,"1920,1080",,6,IPS,16:9
LG E2381VR,,23,"1920,1080",,5,TN,16:9
NEC MD213MG,,21.3,"2048,1536",,12,,4:3
HP LA2205wg,,22,"1680,1050",,5,,16:10
HP LE1911,221.2,19,"1280,1024",,5,,5:4
HP ZR24w,,24,"1920,1200",,7,IPS,16:10
Compaq LA1751g,,17,"1280,1024",,5,,5:4
Compaq LE1711,,17,"1280,1024",,5,,5:4
Lenovo L2250P,,22,"1680,1050",,5,,16:10
Lenovo L1951P,,19,"1440,900",,5,,16:10
Lenovo ThinkVision L197,,19,"1440,900",,5,,16:10
HP 2211x,,21.5,"1920,1080",,5,,16:9
Sceptre E246W-1080P,,23.6,"1920,1080",,2,,16:9
NEC EA192M-BK,,19,"1280,1024",,5,,5:4
Acer B243H AJbdr,,24,"1920,1080",,2,,16:9
Asus VE198T,,19,"1440,900",,5,,16:10
Lenovo D186,,18.5,"1366,768",,5,,16:9
Acer H243Hbmid,,24,"1920,1080",,2,,16:9
Samsung S23A750D,,23,"1920,1080",120,2,,16:9
LG W2486L,,24,"1920,1080",,2,TN,16:9
Samsung E1920X,,18.5,"1360,768",,5,,16:9
Samsung B2230,,21.5,"1920,1080",,5,,16:9
Acer G205HVbd,,20,"1600,900",,5,TN,16:9
LG N1941WP-PF,,19,"1366,768",,5,,16:9
Dell P2011H,,20,"1600,900",,5,TN,16:9
Hannspree HK241DPB,,23.6,"1920,1080",,5,,16:9
Sceptre X195W-Naga,,18.5,"1366,768",,5,,16:9
LG W2753VC-PF,,27,"1920,1080",,2,TN,16:9
Acer S230HLAbii,,23,"1920,1080",,5,TN,16:9
LG E2210T-BN,,22,"1680,1050",,5,,16:10
ViewEra V172BN-B,,17,"1280,1024",,8,,5:4
ViewEra V191HV-B,,19,"1280,1024",,5,,5:4
Philips BDL3215E/00,,32,"1366,768",,8,,16:9
Dell U2212HM,,21.5,"1920,1080",,8,IPS,16:9
Asus VS229H-P,,21.5,"1920,1080",,5,IPS,16:9
Acer V193DJbd,,19,"1280,1024",,5,,5:4
ViewSonic V3D245,,23.6,"1920,1080",120,2,,16:9
HP DreamColor LP2480zx,,24,"1920,1200",,12,IPS,16:10
Dell S2330MX,,23,"1920,1080",60,2,,16:9
Dell P2412H,,24,"1920,1080",60,5,TN,16:9
Hannspree HL196DBB,,19,"1280,1024",,5,,5:4
HP 2310e,,23,"1920,1080",,5,,16:9
Dell P2312H,,23,"1920,1080",60,5,TN,16:9
AOC e2051Sn,,20,"1600,900",60,5,,16:9
AOC e2352Phz,,23,"1920,1080",60,5,,16:9
Samsung S27B970D,,27,"2560,1440",,5,,16:9
Samsung C24B750X,,24,"1920,1080",,5,TN,16:9
Samsung S24B350HL,,23.6,"1920,1080",,2,TN,16:9
Samsung S19A450BR,,19,"1280,1024",,5,TN,5:4
Samsung S19A450BW-1,,19,"1440,900",60,5,,16:10
Samsung EX2220X,,21.5,"1920,1080",,5,,16:9
Samsung S22A650D,,21.5,"1920,1080",,5,,16:9
Samsung S22B350H,,21.5,"1920,1080",,2,TN,16:9
Samsung S27B350H,,27,"1920,1080",,2,TN,16:9
Samsung T22B350ND,,21.5,"1920,1080",,5,TN,16:9
Samsung T24B350ND,,24,"1920,1080",,5,TN,16:9
Samsung T27B350ND,,27,"1920,1080",,5,TN,16:9
Samsung S23B550V,,23,"1920,1080",,2,TN,16:9
Samsung S20B350H,,20,"1600,900",,2,TN,16:9
BenQ GW2450,,24,"1920,1080",,4,,16:9
Dell P170S,,17,"1280,1024",60,5,TN,5:4
NEC EA273WM-BK,,27,"1920,1080",,5,TN,16:9
Acer G276HLDbd,,27,"1920,1080",60,6,,16:9
Hannspree HL203DPB,,20,"1600,900",,5,,16:9
ViewSonic VA1912M-LED,,19,"1366,768",,5,,16:9
Hannspree HF255DPB,,24.6,"1920,1080",,2,,16:9
Compaq S1922a,,18.5,"1366,768",,5,,16:9
HP A6B85AA#ABA,,23,"1920,1080",60,5,,16:9
Hannspree HL272HPB,,27,"1920,1080",,2,,16:9
NEC EX231WP-BK,,23,"1920,1080",,25,,16:9
